,movie_title,num_user_for_reviews,plot_keywords,genres,time,title_year,imdb_score,aspect_ratio,num_critic_for_reviews,movie_link
188,Mulan,2900,,Action,115,2020,5.7,2.39,255,http://www.imdb.com/title/tt4566758/
189,The Suicide Squad,3200,,Action,132,2021,7.3,1.9,353,http://www.imdb.com/title/tt6334354/
190,Avengers: Endgame,9300,time travel,Action,181,2019,8.4,,583,http://www.imdb.com/title/tt4154796/
191,Avengers: Infinity War,4400,death of recurring character,Action,149,2018,8.4,,624,http://www.imdb.com/title/tt4154756/
192,Star Wars: Episode IX - The Rise of Skywalker,7900,evil,Action,141,2019,6.5,2.39,518,http://www.imdb.com/title/tt2527338/
193,Black Panther,3400,marvel cinematic universe,Action,134,2018,7.3,2.39,505,http://www.imdb.com/title/tt1825683/
194,Incredibles 2,1100,,Animation,118,2018,7.6,2.39,405,http://www.imdb.com/title/tt3606756/
195,Black Widow,2900,superheroine,Action,134,2021,6.7,2.39,364,http://www.imdb.com/title/tt3480822/
196,Fantastic Beasts: The Crimes of Grindelwald,1500,wizard,Adventure,134,2018,6.5,2.39,350,http://www.imdb.com/title/tt4123430/
197,Onward,762,,Animation,102,2020,7.4,2.39,326,http://www.imdb.com/title/tt7146812/
198,Mulan,2900,,Action,115,2020,5.7,2.39,255,http://www.imdb.com/title/tt4566758/
199,The Suicide Squad,3200,,Action,132,2021,7.3,1.9,353,http://www.imdb.com/title/tt6334354/
200,Avengers: Endgame,9300,time travel,Action,181,2019,8.4,,583,http://www.imdb.com/title/tt4154796/
201,Avengers: Infinity War,4400,death of recurring character,Action,149,2018,8.4,,624,http://www.imdb.com/title/tt4154756/
202,Star Wars: Episode IX - The Rise of Skywalker,7900,evil,Action,141,2019,6.5,2.39,518,http://www.imdb.com/title/tt2527338/
203,Black Panther,3400,marvel cinematic universe,Action,134,2018,7.3,2.39,505,http://www.imdb.com/title/tt1825683/
204,Incredibles 2,1100,,Animation,118,2018,7.6,2.39,405,http://www.imdb.com/title/tt3606756/
205,Black Widow,2900,superheroine,Action,134,2021,6.7,2.39,364,http://www.imdb.com/title/tt3480822/
206,Fantastic Beasts: The Crimes of Grindelwald,1500,wizard,Adventure,134,2018,6.5,2.39,350,http://www.imdb.com/title/tt4123430/
207,Onward,762,,Animation,102,2020,7.4,2.39,326,http://www.imdb.com/title/tt7146812/
208,Mulan,2900,,Action,115,2020,5.7,2.39,255,http://www.imdb.com/title/tt4566758/
209,The Suicide Squad,3200,,Action,132,2021,7.3,1.9,353,http://www.imdb.com/title/tt6334354/
210,Avengers: Endgame,9300,time travel,Action,181,2019,8.4,,583,http://www.imdb.com/title/tt4154796/
211,Avengers: Infinity War,4400,death of recurring character,Action,149,2018,8.4,,624,http://www.imdb.com/title/tt4154756/
212,Star Wars: Episode IX - The Rise of Skywalker,7900,evil,Action,141,2019,6.5,2.39,518,http://www.imdb.com/title/tt2527338/
213,Black Panther,3400,marvel cinematic universe,Action,134,2018,7.3,2.39,505,http://www.imdb.com/title/tt1825683/
214,Incredibles 2,1100,,Animation,118,2018,7.6,2.39,405,http://www.imdb.com/title/tt3606756/
215,Black Widow,2900,superheroine,Action,134,2021,6.7,2.39,364,http://www.imdb.com/title/tt3480822/
216,Fantastic Beasts: The Crimes of Grindelwald,1500,wizard,Adventure,134,2018,6.5,2.39,350,http://www.imdb.com/title/tt4123430/
217,Onward,762,,Animation,102,2020,7.4,2.39,326,http://www.imdb.com/title/tt7146812/
218,Mulan,2900,,Action,115,2020,5.7,2.39,255,http://www.imdb.com/title/tt4566758/
219,The Suicide Squad,3200,,Action,132,2021,7.3,1.9,353,http://www.imdb.com/title/tt6334354/
